동,아파트,건축년도,매수자,해제사유발생일,해제여부,거래금액,일,월,년,거래유형,estateAgentSggNm,전용면적,층,지번,landLeaseholdGbn,등기일자,지역코드,매도자,법정동,시군구
111,독립문극동(200-0),1998,개인,,,"122,000",30,1,2024,중개거래,서울 서대문구,114.51,9,200,N,24.03.20,11410,개인,현저동,서울특별시 서대문구
106,홍은동벽산,1997,개인,,,"66,200",31,1,2024,중개거래,서울 서대문구,84.96,4,455,N,24.02.28,11410,개인,홍은동,서울특별시 서대문구
106,e편한세상신촌1단지,2018,개인,,,"147,000",28,1,2024,중개거래,서울 서대문구,84.98,9,1013,N,24.04.30,11410,개인,북아현동,서울특별시 서대문구
123,DMC파크뷰자이1단지,2015,개인,,,"118,000",31,1,2024,중개거래,서울 서대문구,84.98,10,385,N,24.04.12,11410,개인,남가좌동,서울특별시 서대문구
,연희웨스트팰리스,2014,개인,,,"31,700",30,1,2024,중개거래,서울 서대문구,39.32,11,746,N,24.03.18,11410,개인,연희동,서울특별시 서대문구
106,두산,1999,개인,,,"78,000",20,1,2024,중개거래,서울 서대문구,59.96,10,1009,N,24.04.05,11410,개인,북아현동,서울특별시 서대문구
407,DMC래미안e편한세상,2012,개인,,,"87,500",31,1,2024,중개거래,서울 서대문구,59.97,6,481,N,24.03.28,11410,개인,북가좌동,서울특별시 서대문구
108,e편한세상신촌1단지,2018,개인,,,"125,000",27,1,2024,중개거래,"경기 하남시, 서울 서대문구",59.97,11,1013,N,24.04.19,11410,개인,북아현동,서울특별시 서대문구
106,신촌럭키,1999,개인,,,"76,500",30,1,2024,중개거래,서울 서대문구,59.7,12,144,N,24.04.08,11410,개인,대현동,서울특별시 서대문구
105,DMC래미안클라시스,2000,개인,,,"74,500",29,1,2024,중개거래,서울 서대문구,59.97,9,377,N,24.05.23,11410,개인,남가좌동,서울특별시 서대문구
102,현대그린,1996,개인,,,"64,500",26,1,2024,중개거래,"서울 서대문구, 서울 종로구",84.96,12,455,N,24.05.08,11410,개인,홍제동,서울특별시 서대문구
,DMC래미안클라시스,2000,개인,24.02.14,O,"84,000",30,1,2024,중개거래,서울 서대문구,84.9,1,377,N,,11410,개인,남가좌동,서울특별시 서대문구
110,DMC래미안클라시스,2000,개인,,,"84,000",30,1,2024,중개거래,서울 서대문구,84.9,1,377,N,24.03.29,11410,개인,남가좌동,서울특별시 서대문구
