번호,날짜,제목,블로거,URL
1,"2026-01-31","1분기 서울에만 9900세대 공급 쏟아진다","애둘아빠 경제 이야기","https://blog.naver.com/daisomaniya/224166144273"
2,"2026-01-31","드파인연희 당첨가점","보담스 블로그","https://blog.naver.com/vodams/224166139093"
3,"2026-01-31","드파인연희 경쟁률 및 당첨가점 분석. (Feat.신길더샵... ","반포파일럿과 함께 날아볼까요!","https://blog.naver.com/gothenburg85/224165937034"
4,"2026-01-30","1/21-1/30 신문 타이틀 써봄. 아니 벌써 1월 말이야?","팡그리의 호두나무 책상","https://blog.naver.com/atleast10years/224165824601"
5,"2026-01-30","2026년 청약 당첨되고 싶다면? 가점 45점도 합격 가능한... ","청로엔 소액투자","https://blog.naver.com/awh8806/224165690877"
6,"2026-01-30","청량리역 요진와이시티 84타입 아파텔 분양정보","살기 좋은집 구하기","https://blog.naver.com/aptgogo79/224165543510"
7,"2026-01-30","곰곰이의 하루 경제 노트(1/30)","곰곰이의 경제노트","https://blog.naver.com/3624769/224165501800"
8,"2026-01-30","1월 30일(금) 알면 도움되는 뉴스","카카오biz부동산","https://blog.naver.com/yos963/224165421228"
9,"2026-01-30","서울분양 2026년 2만 가구 나온다는데, 실제론 5천 가구다","박가의 부자레시피","https://blog.naver.com/parkga5713/224165039713"
10,"2026-01-29","[공정 부동산] 2월 분양, 수도권 대단지에 청약 수요 집중 예상","한국공정일보 공식 블로그","https://blog.naver.com/ceo009/224164664942"
11,"2026-01-29","서울 1만가구 분양 폭탄:'더샵 신길'부터 '반포'까지, 옥석 가리기","미다스의 불새","https://blog.naver.com/money-coin-rich/224164662761"
12,"2026-01-29","2026년 서울·수도권 청약, '공급 절벽' 속에서도 반드시... ","THE Space 부동산 & 경제 이야기","https://blog.naver.com/realestate_ts/224164659057"
13,"2026-01-29","부동산  주요 뉴스 (26.1.29 )","오늘도 즐겁게! 꾸준히!","https://blog.naver.com/mizunokami/224164623664"
14,"2026-01-29","(260129) 한국 기사 속보 10개 요약_파급력 기준 정리","나만아는정보","https://blog.naver.com/alacom9950/224164579050"
15,"2026-01-29","드파인 연희 당첨자 발표 및 정당 계약 기간 안내","가치있게 살아가기","https://blog.naver.com/ajtwlsdltmdw/224164577458"
16,"2026-01-29","청약 당첨돼도 '포기' 속출? 지금 2억으로 서울 진입 가능한... ","청로엔 소액투자","https://blog.naver.com/awh8806/224164249888"
17,"2026-01-29","드파인연희?","선 밖으로 칠해도 괜찮아.","https://blog.naver.com/architecture_101/224164284738"
18,"2026-01-29","26년 서울 청약 일정, 강남·비강남 분양 대어 월별 정리","김팀장 블로그","https://blog.naver.com/lsjis123/224164264458"
19,"2026-01-29","[신문 읽기] 2026. 1. 29.","나는 삶니다","https://blog.naver.com/haeru0907/224164091857"
20,"2026-01-29","2026년 1분기 서울부동산 9,969가구 분양, 5년 중 최대 물량... ","행정저널 / 창업저널","https://blog.naver.com/dk-journal/224164045917"
21,"2026-01-29","내달 전국 19개 단지서 총 1만8,808세대 분양","한국주택경제신문","https://blog.naver.com/arunews/224164036697"
22,"2026-01-29","드파인연희 당첨..!.","아무것도 아닌 여름날","https://blog.naver.com/coolletterbj/224164002006"
23,"2026-01-29","서울 드파인 연희, 시세차익 없어도 ‘74점 통장’ 던진... ","리서치노트","https://blog.naver.com/realmap_invest/224163755022"
24,"2026-01-29","주택청약 자금 조달 계획 서식 (엑셀)","바쓰데이 리포트","https://blog.naver.com/beanmom_lab/224163974263"
25,"2026-01-29","서울 서북권 9년만의 신축, 국평이 14억?","☎ 2420-9250","https://blog.naver.com/power9903400/224163876117"
26,"2026-01-29","서울부동산 현재상황 총정리(목동재건축, 여의도시범... ","시간에 나를 태우다","https://blog.naver.com/investinhouses/224163778666"
27,"2026-01-29","드파인 연희 청약 가점 74점 등장 서울 청약 현실","디토크","https://blog.naver.com/funndtalk/224163729676"
28,"2026-01-29","서울 아파트 2026년 1분기 분양 정보","부린왕자","https://blog.naver.com/real_estate_farmer/224163677635"
29,"2026-01-29","부동산 뉴스/이슈거리0129","❤️❤️❤️❤️꽃길만 걷자❤️❤️❤️❤️","https://blog.naver.com/kbguard06/224163664661"
30,"2026-01-29","[공유] 2026년01월29일(목) 부동산뉴스다주택자 집 팔... ","(주)신화2005그룹","https://blog.naver.com/swa2005/224163658640"
